,name,store_page,full_price,discount,final_price,category
0,Heroes of Might and Magic® 3: Complete,https://www.gog.com/game/heroes_of_might_and_magic_3_complete_edition,599,,599,strategy
1,Homeworld® Remastered Collection,https://www.gog.com/game/homeworld_remastered_collection,599,-80%,119,strategy
2,STAR WARS™ Empire at War: Gold Pack,https://www.gog.com/game/star_wars_empire_at_war_gold_pack,450,-65%,159,strategy
3,Warcraft I & II Bundle,https://www.gog.com/game/warcraft_bundle,699,,699,strategy
4,"Warhammer 40,000: Mechanicus",https://www.gog.com/game/warhammer_40000_mechanicus,799,-50%,400,strategy
5,Homeworld: Deserts of Kharak,https://www.gog.com/game/homeworld_deserts_of_kharak,899,-75%,229,strategy
6,Caesar™ IV,https://www.gog.com/game/caesar_iv,349,-40%,209,strategy
7,Emperor: Rise of the Middle Kingdom,https://www.gog.com/game/emperor_rise_of_the_middle_kingdom,149,-47%,79,strategy
8,Warcraft II Battle.net Edition,https://www.gog.com/game/warcraft_2_battlenet_edition,449,,449,strategy
9,Heroes of Might and Magic® 4: Complete,https://www.gog.com/game/heroes_of_might_and_magic_4_complete,599,,599,strategy
10,Worms: Армагеддон,https://www.gog.com/game/worms_armageddon,349,-77%,79,strategy
11,Empire Earth Gold Edition,https://www.gog.com/game/empire_earth_gold_edition,389,,389,strategy
12,Heroes of Might and Magic® 5: Bundle,https://www.gog.com/game/heroes_of_might_and_magic_5_bundle,999,,999,strategy
13,Homeworld: Emergence,https://www.gog.com/game/homeworld_emergence,249,-80%,49,strategy
14,STAR WARS™ Galactic Battlegrounds Saga,https://www.gog.com/game/star_wars_galactic_battlegrounds_saga,159,-63%,59,strategy
15,Sid Meier's Alpha Centauri™ Planetary Pack,https://www.gog.com/game/sid_meiers_alpha_centauri,199,-75%,49,strategy
16,Factorio,https://www.gog.com/game/factorio,1919,,1919,strategy
17,World in Conflict: Complete Edition,https://www.gog.com/game/world_in_conflict_complete_edition,599,,599,strategy
18,Empire Earth 2 Gold Edition,https://www.gog.com/game/empire_earth_2_gold,649,,649,strategy
19,Submarine Titans,https://www.gog.com/game/submarine_titans,154,-10%,139,strategy
20,BATTLETECH - Season Pass,https://www.gog.com/game/battletech_season_pass,930,,930,strategy
21,Worms W.M.D,https://www.gog.com/game/worms_wmd,1299,-65%,449,strategy
22,Pharaoh + Cleopatra,https://www.gog.com/game/pharaoh_cleopatra,349,,349,strategy
23,Slay the Spire,https://www.gog.com/game/slay_the_spire,465,,465,strategy
24,Heroes of Might and Magic® 2: Gold,https://www.gog.com/game/heroes_of_might_and_magic_2_gold_edition,599,,599,strategy
25,Settlers® 3: Ultimate Collection,https://www.gog.com/game/the_settlers_3_ultimate_collection,599,,599,strategy
26,Sid Meier's Civilization IV®: The Complete Edition,https://www.gog.com/game/sid_meiers_civilization_iv_the_complete_edition,749,,749,strategy
27,Worms World Party Remastered,https://www.gog.com/game/worms_world_party_remastered,349,-74%,89,strategy
28,Imperator: Rome - Deluxe Edition,https://www.gog.com/game/imperator_rome_deluxe_edition,1039,,1039,strategy
29,XCOM: Enemy Unknown Complete Pack,https://www.gog.com/game/xcom_enemy_unknown_complete_pack,1699,,1699,strategy
30,Attack of the Earthlings,https://www.gog.com/game/attack_of_the_earthlings,435,-50%,219,strategy
31,"Warhammer 40,000: Mechanicus - Heretek",https://www.gog.com/game/warhammer_40000_mechanicus_heretek,399,-30%,279,strategy
32,STAR WARS™ Rebellion,https://www.gog.com/game/star_wars_rebellion,159,-63%,59,strategy
33,Zeus + Poseidon (Acropolis),https://www.gog.com/game/zeus_poseidon,349,,349,strategy
34,Warlords III: Darklords Rising,https://www.gog.com/game/warlords_iii_darklords_rising,389,,389,strategy
35,Disciples 2 Gold,https://www.gog.com/game/disciples_2_gold,199,,199,strategy
36,Dungeon Keeper™ 2,https://www.gog.com/game/dungeon_keeper_2,249,,249,strategy
37,Caesar II,https://www.gog.com/game/caesar_ii,149,-20%,119,strategy
38,Age of Wonders: Planetfall,https://www.gog.com/game/age_of_wonders_planetfall,930,,930,strategy
39,Dungeon Keeper Gold™,https://www.gog.com/game/dungeon_keeper,249,,249,strategy
40,Warcraft: Orcs and Humans,https://www.gog.com/game/warcraft_orcs_and_humans,289,,289,strategy
41,"Colonization, Sid Meier's",https://www.gog.com/game/sid_meiers_colonization,169,-71%,49,strategy
42,The Settlers® 2: 10th Anniversary,https://www.gog.com/game/the_settlers_2_10th_anniversary,599,,599,strategy
43,Frostpunk: Сезонный абонемент,https://www.gog.com/game/frostpunk_season_pass,499,,499,strategy
44,"Warhammer 40,000: Mechanicus - Heretek+ Edition ",https://www.gog.com/game/warhammer_40000_mechanicus_heretek_edition,449,-29%,319,strategy
45,Populous™: The Beginning,https://www.gog.com/game/populous_the_beginning,199,,199,strategy
46,Pizza Connection 3,https://www.gog.com/game/pizza_connection_3,639,-59%,259,strategy
47,Empires: Dawn of the Modern World,https://www.gog.com/game/empires_dawn_of_the_modern_world,249,,249,strategy
48,Heroes of Might and Magic® 3: Complete,https://www.gog.com/game/heroes_of_might_and_magic_3_complete_edition,599,,599,strategy
49,Homeworld® Remastered Collection,https://www.gog.com/game/homeworld_remastered_collection,599,-80%,119,strategy
50,STAR WARS™ Empire at War: Gold Pack,https://www.gog.com/game/star_wars_empire_at_war_gold_pack,450,-65%,159,strategy
51,Warcraft I & II Bundle,https://www.gog.com/game/warcraft_bundle,699,,699,strategy
52,"Warhammer 40,000: Mechanicus",https://www.gog.com/game/warhammer_40000_mechanicus,799,-50%,400,strategy
53,Homeworld: Deserts of Kharak,https://www.gog.com/game/homeworld_deserts_of_kharak,899,-75%,229,strategy
54,Caesar™ IV,https://www.gog.com/game/caesar_iv,349,-40%,209,strategy
55,Emperor: Rise of the Middle Kingdom,https://www.gog.com/game/emperor_rise_of_the_middle_kingdom,149,-47%,79,strategy
56,Warcraft II Battle.net Edition,https://www.gog.com/game/warcraft_2_battlenet_edition,449,,449,strategy
57,Heroes of Might and Magic® 4: Complete,https://www.gog.com/game/heroes_of_might_and_magic_4_complete,599,,599,strategy
58,Worms: Армагеддон,https://www.gog.com/game/worms_armageddon,349,-77%,79,strategy
59,Empire Earth Gold Edition,https://www.gog.com/game/empire_earth_gold_edition,389,,389,strategy
60,Heroes of Might and Magic® 5: Bundle,https://www.gog.com/game/heroes_of_might_and_magic_5_bundle,999,,999,strategy
61,Homeworld: Emergence,https://www.gog.com/game/homeworld_emergence,249,-80%,49,strategy
62,STAR WARS™ Galactic Battlegrounds Saga,https://www.gog.com/game/star_wars_galactic_battlegrounds_saga,159,-63%,59,strategy
63,Sid Meier's Alpha Centauri™ Planetary Pack,https://www.gog.com/game/sid_meiers_alpha_centauri,199,-75%,49,strategy
64,Factorio,https://www.gog.com/game/factorio,1919,,1919,strategy
65,World in Conflict: Complete Edition,https://www.gog.com/game/world_in_conflict_complete_edition,599,,599,strategy
66,Empire Earth 2 Gold Edition,https://www.gog.com/game/empire_earth_2_gold,649,,649,strategy
67,Submarine Titans,https://www.gog.com/game/submarine_titans,154,-10%,139,strategy
68,BATTLETECH - Season Pass,https://www.gog.com/game/battletech_season_pass,930,,930,strategy
69,Worms W.M.D,https://www.gog.com/game/worms_wmd,1299,-65%,449,strategy
70,Pharaoh + Cleopatra,https://www.gog.com/game/pharaoh_cleopatra,349,,349,strategy
71,Slay the Spire,https://www.gog.com/game/slay_the_spire,465,,465,strategy
72,Heroes of Might and Magic® 2: Gold,https://www.gog.com/game/heroes_of_might_and_magic_2_gold_edition,599,,599,strategy
73,Settlers® 3: Ultimate Collection,https://www.gog.com/game/the_settlers_3_ultimate_collection,599,,599,strategy
74,Sid Meier's Civilization IV®: The Complete Edition,https://www.gog.com/game/sid_meiers_civilization_iv_the_complete_edition,749,,749,strategy
75,Worms World Party Remastered,https://www.gog.com/game/worms_world_party_remastered,349,-74%,89,strategy
76,Imperator: Rome - Deluxe Edition,https://www.gog.com/game/imperator_rome_deluxe_edition,1039,,1039,strategy
77,XCOM: Enemy Unknown Complete Pack,https://www.gog.com/game/xcom_enemy_unknown_complete_pack,1699,,1699,strategy
78,Attack of the Earthlings,https://www.gog.com/game/attack_of_the_earthlings,435,-50%,219,strategy
79,"Warhammer 40,000: Mechanicus - Heretek",https://www.gog.com/game/warhammer_40000_mechanicus_heretek,399,-30%,279,strategy
80,STAR WARS™ Rebellion,https://www.gog.com/game/star_wars_rebellion,159,-63%,59,strategy
81,Zeus + Poseidon (Acropolis),https://www.gog.com/game/zeus_poseidon,349,,349,strategy
